name,domain,job_code,job_family,locale,id
Assistant Human Resources_51084582,JGP,51084582,JGP_JobFamily,en_US,2860262864604632074
Project Manager I_51306259,JGP,51306259,JGP_JobFamily,en_US,2860262864604632075
Engineer II_51573445 V2,JGP,51573445,JGP_JobFamily,en_US,2860262864579467199
Molding Technician III_51646556 V2,JGP,51646556,JGP_JobFamily,en_US,2860262864579467200
Business Unit Coordinator_51016154 V2,JGP,51016154,JGP_JobFamily,en_US,2860262864579467201
Machinist III_51712285 V3,JGP,51712285,JGP_JobFamily,en_US,2860262864587855820
Quality Technician III -_51549302 V3,JGP,51549302,JGP_JobFamily,en_US,2860262864587855821
 V4,JGP,51016112,JGP_JobFamily,en_US,2860262864587855823
Planning Supervisor_51016367 V5,JGP,51016367,JGP_JobFamily,en_US,2860262864587855827
Assistant Logistics Manag_51110133 V5,JGP,51110133,JGP_JobFamily,en_US,2860262864587855828
V8,JGP,51024634,JGP_JobFamily,en_US,2860262864587855838
V8,JGP,51197406,JGP_JobFamily,en_US,2860262864587855839
Quality Technician II_51049732,JGP,51049732,JGP_JobFamily,en_US,2860262864604632076
Industrial Engineer II_51016393,JGP,51016393,JGP_JobFamily,en_US,2860262864604632077
Industrial Engineering Ma_51016397,JGP,51016397,JGP_JobFamily,en_US,2860262864604632078
Production Group Leader_51084911,JGP,51084911,JGP_JobFamily,en_US,2860262864604632079
Quality Technician III -_51735891,JGP,51735891,JGP_JobFamily,en_US,2860262864604632080
NA_NA,JGP,NA,JGP_JobFamily,en_US,2860262864604632081
Materials Planner I_51016365,JGP,51016365,JGP_JobFamily,en_US,2860262864604632082
Sr. Maintenance Specialis_40000051,JGP,40000051,JGP_JobFamily,en_US,2860262864604632083
Manufacturing Trainer I_51061544,JGP,51061544,JGP_JobFamily,en_US,2860262864604632084
Materials Planner II_51084881,JGP,51084881,JGP_JobFamily,en_US,2860262864604632085
Sr. Financial Analyst_51016106,JGP,51016106,JGP_JobFamily,en_US,2860262864604632086
Accounting Supervisor I_51016111,JGP,51016111,JGP_JobFamily,en_US,2860262864604632087
Operator III_51075227,JGP,51075227,JGP_JobFamily,en_US,2860262864604632088
Site Information Technolo_51016200,JGP,51016200,JGP_JobFamily,en_US,2860262864604632089
Quality Inspector II_51127365,JGP,51127365,JGP_JobFamily,en_US,2860262864613020698
Warehouse Supervisor_51024632,JGP,51024632,JGP_JobFamily,en_US,2860262864613020699
